Last_Name,First_Name,Date_of_Survey,Age,NPS_Scale,NPS_With_Decimal
Perry,Andrew,7/25/2022,99,8,8
Richardson,Sam,3/2/2020,93,9,9.9
Wells,Victoria,8/22/2022,87,9,9.3
Brooks,Rebecca,5/6/2021,94,8,8.4
Farrell,Vanessa,11/30/2019,99,9,9.3
Reed,Blake,1/29/2020,99,0,0.9
Tucker,Victoria,7/16/2021,88,9,9.5
Morris,Steven,8/26/2020,100,8,8.1
Bailey,Briony,8/31/2021,89,9,9.8
Hill,Daisy,4/10/2022,84,9,9.9
Ellis,Alford,3/25/2020,82,9,9.1
Hawkins,Adison,2/20/2020,88,9,9
Howard,Sawyer,2/25/2022,83,9,9.9
Craig,Jessica,1/30/2021,87,9,9.5
Kelly,Melissa,9/1/2021,81,9,9.3
Lloyd,Freddie,5/9/2020,82,9,9.3
Parker,Camila,8/29/2020,95,10,10
Cameron,Kelvin,1/10/2022,81,9,9.1
Casey,Paul,4/6/2021,87,9,9.6
Douglas,Maria,8/11/2022,100,8,8.4
Ferguson,Andrew,8/19/2020,90,9,9
Harris,Samantha,6/25/2022,90,8,8.3
Holmes,Maximilian,8/23/2020,85,9,9
Turner,Sophia,5/26/2022,82,8,8.5
Casey,Isabella,3/11/2022,85,8,8.7
Campbell,Alisa,7/29/2020,86,9,9.5
Payne,Daisy,6/13/2020,83,9,9.1
Hamilton,Julia,1/13/2022,85,9,9.3
Ferguson,Stella,11/28/2021,99,10,10
Edwards,Abigail,5/12/2022,100,8,8.3
West,Kelsey,12/5/2021,94,9,9.5
Baker,Jessica,1/21/2022,83,9,9.6
Fowler,Thomas,1/19/2020,93,10,10
Tucker,Adrianna,2/21/2021,91,7,7.8
Moore,Lydia,9/6/2022,88,8,8.8
Carter,Nicole,11/24/2020,85,9,9.1
Walker,Antony,2/20/2022,96,7,7.7
Andrews,Edwin,8/1/2021,87,8,8.4
Hawkins,Steven,3/2/2022,89,9,9.9
Holmes,Oliver,9/18/2022,96,8,8.3
Wright,Melissa,8/30/2020,82,9,9.8
Morris,Michelle,12/29/2020,95,9,9.6
Harrison,William,9/13/2020,92,9,9.8
Sullivan,Lydia,4/13/2020,87,9,9.9
Nelson,Fenton,10/21/2020,92,9,9.1
Gray,Julia,8/25/2022,82,9,9.6
Ryan,Elian,2/9/2021,85,8,8.3
Andrews,John,4/27/2021,98,10,10
Nelson,Kellan,12/26/2021,89,8,8.9
Perkins,Samantha,6/28/2021,88,8,8.3
Barrett,Lenny,11/24/2019,91,9,9.1
Dixon,Joyce,7/28/2021,100,8,8.5
Ryan,Caroline,2/8/2022,86,8,8.6
Grant,Samantha,9/3/2020,85,8,8
Wilson,Dexter,9/4/2021,89,0,0.2
Perkins,Tyler,3/29/2022,84,10,10
Brown,Nicholas,5/24/2021,100,8,8.9
Carter,Edith,11/14/2019,89,8,8.3
Cunningham,Deanna,12/27/2021,83,9,9.1
Dixon,Natalie,1/28/2021,81,9,9.1
Gray,Justin,6/22/2021,90,6,6.3
Adams,Amy,2/14/2022,95,9,9.6
Henderson,Chelsea,6/25/2021,85,10,10
Ellis,Rafael,2/10/2021,98,9,9.6
Hill,Jared,9/29/2022,85,9,9.4
Carter,Ashton,2/23/2020,82,9,9.6
Ferguson,Audrey,7/20/2020,88,10,10
Wright,Clark,9/30/2022,92,10,10
Sullivan,Mike,3/12/2022,81,9,9.8
Barnes,Edwin,5/9/2022,95,8,8
Hamilton,Kelvin,4/21/2021,92,8,8.6
Kelly,Oliver,10/1/2020,98,10,10
Stevens,Stella,3/3/2022,96,10,10
Campbell,Chloe,5/20/2022,92,9,9
Ferguson,Camila,11/29/2020,86,8,8.9
Craig,Camila,10/22/2021,82,8,8.9
Ross,Caroline,9/16/2022,90,10,10
Mason,Sabrina,12/19/2019,99,8,8.5
Ross,Kimberly,2/2/2021,93,9,9.3
Davis,Miley,1/30/2022,88,10,10
Howard,Walter,2/17/2020,92,9,9.5
Foster,Naomi,6/3/2020,81,9,9.5
Jones,Alexander,12/11/2021,80,9,9
Walker,Kirsten,1/23/2021,88,9,9.3
Allen,Jessica,12/18/2020,93,9,9.5
Cameron,Eric,12/24/2020,100,9,9.3
Alexander,Julian,9/20/2021,84,10,10
Farrell,Belinda,6/20/2021,83,9,9.5
Walker,George,5/21/2020,83,10,10
Farrell,Emma,5/20/2021,94,8,8.5
Fowler,David,7/22/2020,92,10,10
Kelley,Reid,5/27/2022,91,10,10
Robinson,Rosie,9/11/2021,81,8,8.6
Campbell,Kate,8/24/2021,96,9,9.5
Tucker,Kellan,1/27/2022,84,10,10
Foster,Tony,4/8/2020,86,9,9.2
Walker,Arianna,1/10/2021,83,9,9.8
Casey,Brad,1/20/2022,91,10,10
Robinson,Brianna,8/16/2021,85,8,8.7
Harrison,Sam,9/11/2021,84,9,9.1
Wright,Samantha,6/3/2021,89,9,9.9
Robinson,Melanie,10/19/2020,94,10,10
Barrett,Charlotte,4/28/2022,87,9,9.3
Cunningham,Elian,1/1/2021,82,8,8.5
Phillips,Arnold,12/20/2020,93,8,8.9
Miller,Chester,3/20/2021,82,9,9.5
Taylor,Camila,3/4/2022,99,10,10
Tucker,Adele,3/20/2021,98,9,9.5
Morris,Vincent,11/15/2019,99,9,9.9
Richards,Rosie,12/23/2019,81,9,9.6
Harris,Wilson,8/3/2021,85,8,8
Clark,Sofia,5/1/2020,87,10,10
Wells,Patrick,4/22/2022,89,9,9.1
Foster,Walter,1/15/2022,95,10,10
Evans,Patrick,3/10/2021,83,10,10
Morgan,Wilson,12/18/2021,100,10,10
Carroll,Abraham,5/26/2022,96,9,9
Barrett,Florrie,8/26/2022,94,9,9.2
Harris,Lydia,4/8/2022,82,10,10
Cameron,Victor,6/15/2021,90,9,9.4
Brooks,Frederick,3/27/2021,95,7,7
Kelley,Daryl,4/24/2020,93,9,9.4
Grant,Savana,6/14/2022,92,9,9.9
Gray,Natalie,4/28/2020,99,8,8.2
Montgomery,Elian,3/1/2022,90,9,9.9
Wright,Alexander,7/7/2021,87,10,10
Crawford,Savana,11/23/2021,80,9,9.6
Phillips,Joyce,1/17/2022,86,8,8.4
Ferguson,Owen,12/12/2021,86,9,9.1
Ryan,April,9/26/2021,82,10,10
Anderson,Kirsten,10/25/2021,84,8,8.5
Sullivan,Chelsea,7/19/2022,90,8,8.1
Thomas,Brianna,8/24/2021,95,9,9.3
Johnston,Ted,9/30/2021,84,9,9.4
Moore,Henry,12/13/2020,86,8,8
Watson,Lily,4/20/2022,95,9,9.7
Warren,Kellan,12/11/2020,99,9,9.9
Hall,Ned,4/2/2021,88,10,10
Miller,Wilson,11/9/2020,88,9,9.5
Armstrong,Michael,2/16/2021,82,10,10
Phillips,Ryan,5/3/2022,95,8,8.7
Mitchell,Sienna,6/5/2020,96,9,9
Taylor,Daryl,2/13/2020,80,8,8.1
Wright,Ashton,4/30/2022,99,9,9
Scott,Carlos,1/14/2021,98,7,7.9
Evans,Lucia,3/28/2021,93,6,6.6
Mason,Fenton,10/22/2021,85,9,9.7
Jones,Nicholas,1/24/2021,85,9,9
Allen,Mary,4/18/2020,85,9,9.7
Farrell,Justin,10/27/2020,89,8,8.9
Murray,Aida,4/12/2022,87,10,10
Morrison,Amanda,10/2/2022,86,10,10
Nelson,Frederick,12/23/2020,80,8,8.9
Spencer,Emma,1/20/2020,98,9,9
Douglas,Rafael,11/9/2020,81,9,9.4
Lloyd,Amanda,8/22/2020,99,9,9.2
Ferguson,Abraham,8/6/2022,82,9,9.6
Cooper,Hailey,8/12/2020,95,10,10
West,Abraham,1/29/2020,100,9,9.4
Chapman,Ada,8/29/2022,97,9,9.6
Carter,Daryl,12/28/2020,97,10,10
Hunt,Elian,1/10/2020,84,7,7.8
Murray,Amy,6/14/2020,89,8,8.6
Watson,Roman,8/4/2021,97,8,8.6
Johnson,Belinda,7/1/2021,98,10,10
Morgan,Tyler,2/27/2022,99,9,9.5
Thompson,Tara,10/23/2020,86,9,9.7
Gray,Kristian,5/31/2021,80,9,9.6
Taylor,Melanie,11/21/2020,80,9,9.5
West,April,12/25/2019,80,9,9.4
Douglas,Alexia,9/25/2020,89,8,8.4
Hawkins,Ashton,6/19/2021,98,0,0.4
Phillips,Nicholas,10/20/2021,91,9,9.1
Gibson,April,12/1/2019,98,7,7.1
Howard,Darcy,11/19/2020,88,10,10
Montgomery,Byron,12/1/2019,82,9,9.1
Cunningham,Dainton,4/28/2020,100,9,9.7
Harris,Chester,5/24/2022,85,9,9.7
Thomas,Myra,12/16/2020,83,10,10
Ross,Luke,9/4/2020,80,9,9.2
Thomas,Anna,9/3/2021,90,9,9.6
Wells,Rubie,5/27/2020,92,10,10
Cameron,Vincent,12/13/2020,93,9,9.9
Barnes,Lana,7/31/2020,88,9,9.1
Barnes,Kelvin,8/23/2022,95,10,10
Davis,Kate,9/12/2021,95,8,8.7
Grant,Miller,9/14/2021,81,9,9
Tucker,Dexter,12/14/2021,84,0,0.1
Elliott,Annabella,5/31/2020,97,8,8.3
Kelley,Dexter,2/16/2022,99,10,10
Anderson,Rosie,10/14/2021,80,9,9.6
Riley,James,2/6/2020,81,9,9.8
Johnson,Lucy,4/26/2021,97,9,9.6
Owens,Adrianna,12/20/2019,88,10,10
Cameron,Jacob,3/20/2022,85,10,10
Walker,Chester,12/28/2020,81,8,8.5
Tucker,Tara,3/23/2022,99,8,8.5
Thomas,George,1/1/2021,98,8,8.3
Hall,Evelyn,6/17/2020,98,9,9.1
Andrews,Ted,1/6/2022,91,8,8.3
Perry,Andrew,7/5/2021,96,8,8.2
Richardson,Sam,5/21/2020,89,8,8.1
Wells,Victoria,8/31/2022,99,8,8.5
Brooks,Rebecca,2/15/2020,90,9,9.8
Farrell,Vanessa,4/12/2020,98,10,10
Reed,Blake,11/14/2019,83,8,8.2
Tucker,Victoria,4/9/2021,81,9,9.5
Morris,Steven,11/19/2020,91,10,10
Bailey,Briony,8/18/2021,80,8,8.4
Hill,Daisy,11/23/2019,97,8,8.5
Ellis,Alford,4/16/2021,97,8,8
Hawkins,Adison,6/21/2021,99,9,9.1
Howard,Sawyer,3/7/2022,88,9,9.7
Craig,Jessica,6/13/2021,80,9,9.7
Kelly,Melissa,3/8/2021,96,9,9.8
Lloyd,Freddie,6/23/2021,88,10,10
Parker,Camila,9/11/2020,96,9,9.7
Cameron,Kelvin,2/8/2020,100,9,9.1
Casey,Paul,8/1/2020,95,9,9.7
Douglas,Maria,1/30/2021,98,9,9.1
Ferguson,Andrew,10/10/2020,88,9,9.5
Harris,Samantha,11/6/2019,95,9,9.1
Holmes,Maximilian,9/26/2020,97,9,9.2
Turner,Sophia,12/31/2019,90,10,10
Casey,Isabella,8/1/2021,87,9,9.3
Campbell,Alisa,11/17/2020,100,8,8.3
Payne,Daisy,4/10/2022,85,9,9.4
Hamilton,Julia,6/29/2020,88,8,8.4
Ferguson,Stella,7/16/2022,87,8,8.8
Edwards,Abigail,1/23/2021,86,9,9.5
West,Kelsey,8/17/2021,92,8,8.9
Baker,Jessica,1/17/2021,84,9,9.3
Fowler,Thomas,6/14/2021,81,8,8.8
Tucker,Adrianna,1/28/2020,85,8,8.3
Moore,Lydia,11/15/2020,80,9,9.7
Carter,Nicole,3/25/2020,84,8,8.2
Walker,Antony,6/14/2021,90,8,8.8
Andrews,Edwin,6/15/2021,96,9,9.6
Hawkins,Steven,6/16/2022,88,8,8.4
Holmes,Oliver,8/10/2021,100,9,9.5
